Estacao;Data;Hora;TempBulboSeco;UmidadeRelativa;PressaoAtmEstacao;VelocidadeVento;Nebulosidade;
83781;23/04/2019;1800;25.7;71;926.3;4.11552;10;
83781;24/04/2019;0000;21.4;87;929.2;4.11552;10;
83781;24/04/2019;1200;22;87;929.9;1.54332;10;
83781;24/04/2019;1800;27.9;62;927.4;2.5722;6.25;
83781;25/04/2019;0000;23.2;83;929.3;3.08664;10;
83781;25/04/2019;1200;23.3;87;929.6;3.08664;7.5;
83781;25/04/2019;1800;28.3;56;927.5;2.05776;7.5;
83781;26/04/2019;0000;22.4;86;929.3;3.08664;7.5;
83781;26/04/2019;1200;22.4;83;927.3;1.54332;10;
83781;26/04/2019;1800;24;86;926.6;4.11552;10;
83781;27/04/2019;0000;22.4;89;927.5;2.05776;10;
83781;27/04/2019;1200;22.5;86;927.5;0;5;
83781;27/04/2019;1800;29.1;56;924.2;3.08664;6.25;
83781;28/04/2019;0000;25.4;68;924.1;2.05776;0;
83781;28/04/2019;1200;24.2;66;923.5;2.05776;6.25;
83781;28/04/2019;1800;28.4;53;920.4;4.62996;10;
83781;29/04/2019;0000;18;93;923.9;1.02888;10;
83781;29/04/2019;1200;20;80;924.4;1.54332;6.25;
83781;29/04/2019;1800;23.5;68;923.6;2.05776;8.75;
83781;30/04/2019;0000;19.5;90;926.6;2.5722;10;
83781;30/04/2019;1200;20.5;76;927.8;2.05776;5;
83781;30/04/2019;1800;26.9;43;924.9;2.05776;6.25;
83781;01/05/2019;0000;20.4;83;926.7;1.54332;10;
83781;01/05/2019;1200;29.5;54;927.1;1.54332;10;
83781;01/05/2019;1800;26.8;48;924.3;1.54332;7.5;
83781;02/05/2019;0000;23;74;924.5;1.02888;6.25;
83781;02/05/2019;1200;23;73;925.1;1.54332;6.25;
83781;02/05/2019;1800;26.4;51;923.8;2.5722;10;
83781;03/05/2019;0000;22.9;74;924.8;0.51444;3.75;
83781;03/05/2019;1200;22;90;926.4;1.54332;8.75;
83781;03/05/2019;1800;29.3;50;925;1.54332;8.75;
83781;04/05/2019;0000;25.2;74;926.9;2.05776;3.75;
83781;04/05/2019;1200;23.2;77;928.5;0;10;
83781;04/05/2019;1800;19.1;81;926.2;2.05776;10;
83781;05/05/2019;0000;24.4;65;928.4;0;0;
83781;05/05/2019;1200;21.5;85;929.2;1.54332;7.5;
83781;05/05/2019;1800;28.6;50;926.1;1.54332;7.5;
83781;06/05/2019;0000;20.9;89;928;3.08664;10;
83781;06/05/2019;1200;22.5;82;927.8;1.02888;2.5;
83781;06/05/2019;1800;28.5;52;925;4.62996;7.5;
