Estacao;Data;Hora;TempBulboSeco;UmidadeRelativa;PressaoAtmEstacao;VelocidadeVento;Nebulosidade;
83781;04/05/1980;1200;15;69;928.5;3;4;
83781;04/05/1980;1800;21.2;41;925.6;1.5;0;
83781;05/05/1980;0000;14.6;87;927.3;0.7;3;
83781;05/05/1980;1200;11.2;93;929;1.5;2;
83781;05/05/1980;1800;23.5;37;926.8;2;0;
83781;06/05/1980;0000;15.6;84;929.3;3.1;10;
83781;06/05/1980;1200;12;91;930.3;2.8;10;
83781;06/05/1980;1800;24.6;38;927.2;1.1;2;
83781;07/05/1980;0000;19.5;56;928.2;0.8;0;
83781;07/05/1980;1200;17.5;68;929.2;0.7;6;
83781;07/05/1980;1800;25.6;27;926.6;3.6;2;
83781;08/05/1980;0000;18.4;70;929;2;0;
83781;08/05/1980;1200;17.6;56;929.1;2;0;
83781;08/05/1980;1800;21.5;67;927;4;4;
83781;09/05/1980;0000;17.2;86;928.2;1.6;4;
83781;09/05/1980;1200;18.2;84;926.9;3;7;
83781;09/05/1980;1800;25.4;56;924.5;3.6;10;
83781;10/05/1980;0000;21.4;80;925.1;3.5;4;
83781;10/05/1980;1200;20.5;74;925.4;4.1;10;
83781;10/05/1980;1800;26.1;46;923.7;5;4;
83781;11/05/1980;0000;22.4;69;926;1.1;2;
83781;11/05/1980;1200;20.2;78;928.2;1;10;
83781;11/05/1980;1800;23.4;66;926.8;1.6;10;
83781;12/05/1980;0000;20.9;81;928.3;2.1;4;
83781;12/05/1980;1200;18.3;96;930.2;1.3;10;
83781;12/05/1980;1800;23.1;66;928.4;3.6;7;
83781;13/05/1980;0000;20;87;929.5;1.5;10;
83781;13/05/1980;1200;19;87;930.6;4.1;10;
83781;13/05/1980;1800;24.9;54;928;4;10;
83781;14/05/1980;0000;19.3;86;929.3;2.3;10;
83781;14/05/1980;1200;17.8;89;928.8;4.1;10;
83781;14/05/1980;1800;25.6;46;925;2.6;4;
83781;15/05/1980;0000;20;86;927.2;1;10;
83781;15/05/1980;1200;16.7;96;928;0.8;8;
83781;15/05/1980;1800;26.4;42;925.1;3.6;8;
83781;16/05/1980;0000;19.7;89;927.5;2.1;10;
83781;16/05/1980;1200;18.6;89;928.3;0.7;10;
83781;16/05/1980;1800;27;40;925.7;1.8;4;
83781;17/05/1980;0000;21;72;927.7;1.5;0;
83781;17/05/1980;1200;19;74;929.1;1.3;2;
83781;17/05/1980;1800;24.5;49;926.6;3.8;10;
83781;18/05/1980;0000;19.2;81;928.8;3.3;10;
83781;18/05/1980;1200;17.6;90;928.5;2.3;8;
83781;18/05/1980;1800;23;71;925.5;0.8;10;
83781;19/05/1980;0000;19.2;90;926.5;1.6;10;
83781;19/05/1980;1200;18.2;91;926.6;3.5;10;
83781;19/05/1980;1800;26.4;48;923.3;2.1;8;
83781;20/05/1980;0000;21.2;71;924.9;0;0;
83781;20/05/1980;1200;16.8;96;926;1.6;9;
83781;20/05/1980;1800;27.8;45;923.1;2.3;4;
83781;21/05/1980;0000;22.4;70;925.6;3;1;
83781;21/05/1980;1200;18.8;84;926;1.5;10;
83781;21/05/1980;1800;27.4;43;923.7;3.3;3;
83781;22/05/1980;0000;22.4;64;924.6;4.1;4;
83781;22/05/1980;1200;19.6;83;927.4;2.3;10;
83781;22/05/1980;1800;20;84;926.8;1.5;10;
83781;23/05/1980;0000;19;85;928.8;2.1;0;
83781;23/05/1980;1200;17.7;83;930.1;3.5;10;
83781;23/05/1980;1800;18.7;72;928.3;3.1;10;
83781;24/05/1980;0000;16.6;80;929.6;2.1;10;
83781;24/05/1980;1200;16.2;87;929.6;4.1;10;
83781;24/05/1980;1800;22.8;66;926.4;0.5;4;
83781;25/05/1980;0000;18.1;87;929.5;3.1;10;
83781;25/05/1980;1200;17.2;81;929.5;3.1;10;
83781;25/05/1980;1800;22.4;59;927.9;2.5;9;
83781;26/05/1980;0000;16.8;88;930.7;3.3;10;
83781;26/05/1980;1200;16.9;85;932.6;3.6;10;
83781;26/05/1980;1800;21.4;62;930.3;3.3;9;
83781;27/05/1980;0000;17.2;88;931.6;2;2;
83781;27/05/1980;1200;15.4;92;931.6;4.6;10;
83781;27/05/1980;1800;22.7;55;928.9;1.3;8;
83781;28/05/1980;0000;17.2;91;929.9;1.5;0;
83781;28/05/1980;1200;15;85;929.2;1.8;0;
83781;28/05/1980;1800;24.8;42;926.7;3.1;9;
83781;29/05/1980;0000;20.1;67;927.6;2.1;10;
83781;29/05/1980;1200;18.3;75;927.4;1.1;0;
83781;29/05/1980;1800;24.6;46;924.8;1.6;9;
83781;30/05/1980;0000;21.3;59;926.3;2;9;
83781;30/05/1980;1200;18;71;926.9;2.3;1;
83781;30/05/1980;1800;25.7;36;924.5;2.5;3;
83781;31/05/1980;0000;20.8;60;925.3;2.1;8;
83781;31/05/1980;1200;18.7;61;927.4;2.3;0;
83781;31/05/1980;1800;25.3;38;924.8;2.1;9;
83781;01/06/1980;0000;20.4;56;925.5;1.6;6;
83781;01/06/1980;1200;18.1;68;925.8;1;2;
83781;01/06/1980;1800;25.6;44;923.3;3.3;6;
83781;02/06/1980;0000;22;59;924.6;1;10;
83781;02/06/1980;1200;19.3;83;925.2;0;9;
83781;02/06/1980;1800;23.2;58;923.1;2.5;10;
83781;03/06/1980;0000;17.8;83;924.6;2;10;
83781;03/06/1980;1200;17.6;84;926.5;3.6;10;
83781;03/06/1980;1800;17.7;65;925.6;3.3;9;
83781;04/06/1980;0000;13.6;80;929.3;4.1;10;
83781;04/06/1980;1200;12.3;82;930.8;3.3;10;
83781;04/06/1980;1800;17.6;56;929.2;2.5;9;
83781;05/06/1980;0000;12;81;930.9;3.3;10;
83781;05/06/1980;1200;13.7;85;931;3.3;10;
83781;05/06/1980;1800;19.8;66;928.8;1.3;7;
83781;06/06/1980;0000;14.7;88;930.8;1.6;0;
